There are 4 GPU(s) available.
We will use the GPU: NVIDIA RTX A6000
Loading BERT tokenizer...
accuracy
Amazon-Pet-BERT
{'loss': 0.3484, 'learning_rate': 1.9853200234879626e-05, 'epoch': 0.01}
{'loss': 0.2661, 'learning_rate': 1.4568408690546097e-05, 'epoch': 0.54}
{'loss': 0.2644, 'learning_rate': 1.442160892542572e-05, 'epoch': 0.56}
{'loss': 0.2602, 'learning_rate': 1.4274809160305345e-05, 'epoch': 0.57}
{'loss': 0.259, 'learning_rate': 1.4128009395184969e-05, 'epoch': 0.59}
{'loss': 0.2611, 'learning_rate': 1.3981209630064594e-05, 'epoch': 0.6}
{'loss': 0.257, 'learning_rate': 1.3834409864944218e-05, 'epoch': 0.62}
{'loss': 0.2663, 'learning_rate': 1.368761009982384e-05, 'epoch': 0.63}
{'loss': 0.2612, 'learning_rate': 1.3540810334703465e-05, 'epoch': 0.65}
{'loss': 0.2566, 'learning_rate': 1.3394010569583089e-05, 'epoch': 0.66}
{'loss': 0.2608, 'learning_rate': 1.3247210804462713e-05, 'epoch': 0.68}
{'loss': 0.258, 'learning_rate': 1.3100411039342338e-05, 'epoch': 0.69}
{'loss': 0.2593, 'learning_rate': 1.2953611274221962e-05, 'epoch': 0.7}
{'loss': 0.2611, 'learning_rate': 1.2806811509101586e-05, 'epoch': 0.72}
{'loss': 0.2616, 'learning_rate': 1.266001174398121e-05, 'epoch': 0.73}
{'loss': 0.2632, 'learning_rate': 1.2513211978860834e-05, 'epoch': 0.75}
{'loss': 0.2594, 'learning_rate': 1.236641221374046e-05, 'epoch': 0.76}
{'loss': 0.2566, 'learning_rate': 1.2219612448620084e-05, 'epoch': 0.78}
{'loss': 0.2588, 'learning_rate': 1.2072812683499708e-05, 'epoch': 0.79}
{'loss': 0.257, 'learning_rate': 1.192601291837933e-05, 'epoch': 0.81}
{'loss': 0.2538, 'learning_rate': 1.1779213153258954e-05, 'epoch': 0.82}
{'loss': 0.2561, 'learning_rate': 1.1632413388138578e-05, 'epoch': 0.84}
{'loss': 0.2576, 'learning_rate': 1.1485613623018204e-05, 'epoch': 0.85}
{'loss': 0.254, 'learning_rate': 1.1338813857897828e-05, 'epoch': 0.87}
{'loss': 0.2578, 'learning_rate': 1.1192014092777452e-05, 'epoch': 0.88}
{'loss': 0.2556, 'learning_rate': 1.1045214327657076e-05, 'epoch': 0.9}
{'loss': 0.2542, 'learning_rate': 1.08984145625367e-05, 'epoch': 0.91}
{'loss': 0.2561, 'learning_rate': 1.0751614797416326e-05, 'epoch': 0.92}
{'loss': 0.2585, 'learning_rate': 1.060481503229595e-05, 'epoch': 0.94}
{'loss': 0.2555, 'learning_rate': 1.0458015267175574e-05, 'epoch': 0.95}
{'loss': 0.258, 'learning_rate': 1.0311215502055198e-05, 'epoch': 0.97}
{'loss': 0.256, 'learning_rate': 1.016441573693482e-05, 'epoch': 0.98}
{'loss': 0.2501, 'learning_rate': 1.0017615971814444e-05, 'epoch': 1.0}
{'eval_loss': 0.25181370973587036, 'eval_accuracy': 0.790776077290401, 'eval_runtime': 3428.1379, 'eval_samples_per_second': 381.488, 'eval_steps_per_second': 1.987, 'epoch': 1.0}
{'loss': 0.2477, 'learning_rate': 9.87081620669407e-06, 'epoch': 1.01}
{'loss': 0.2507, 'learning_rate': 9.724016441573694e-06, 'epoch': 1.03}
{'loss': 0.2496, 'learning_rate': 9.577216676453318e-06, 'epoch': 1.04}
{'loss': 0.246, 'learning_rate': 9.430416911332942e-06, 'epoch': 1.06}
{'loss': 0.2456, 'learning_rate': 9.283617146212568e-06, 'epoch': 1.07}
{'loss': 0.2455, 'learning_rate': 9.136817381092192e-06, 'epoch': 1.09}
{'loss': 0.2487, 'learning_rate': 8.990017615971816e-06, 'epoch': 1.1}
{'loss': 0.2462, 'learning_rate': 8.84321785085144e-06, 'epoch': 1.12}
{'loss': 0.2494, 'learning_rate': 8.696418085731064e-06, 'epoch': 1.13}
{'loss': 0.2413, 'learning_rate': 8.549618320610688e-06, 'epoch': 1.15}
{'loss': 0.2414, 'learning_rate': 8.402818555490312e-06, 'epoch': 1.16}
{'loss': 0.2446, 'learning_rate': 8.256018790369936e-06, 'epoch': 1.17}
{'loss': 0.2421, 'learning_rate': 8.109219025249561e-06, 'epoch': 1.19}
{'loss': 0.2443, 'learning_rate': 7.962419260129185e-06, 'epoch': 1.2}
{'loss': 0.2478, 'learning_rate': 7.815619495008808e-06, 'epoch': 1.22}
{'loss': 0.2475, 'learning_rate': 7.668819729888433e-06, 'epoch': 1.23}
{'loss': 0.2484, 'learning_rate': 7.522019964768057e-06, 'epoch': 1.25}
{'loss': 0.2486, 'learning_rate': 7.3752201996476814e-06, 'epoch': 1.26}
{'loss': 0.2496, 'learning_rate': 7.2284204345273054e-06, 'epoch': 1.28}
{'loss': 0.2501, 'learning_rate': 7.08162066940693e-06, 'epoch': 1.29}
{'loss': 0.2499, 'learning_rate': 6.9348209042865535e-06, 'epoch': 1.31}
{'loss': 0.2448, 'learning_rate': 6.7880211391661775e-06, 'epoch': 1.32}
{'loss': 0.2422, 'learning_rate': 6.641221374045802e-06, 'epoch': 1.34}
{'loss': 0.2501, 'learning_rate': 6.494421608925426e-06, 'epoch': 1.35}
{'loss': 0.2424, 'learning_rate': 6.34762184380505e-06, 'epoch': 1.37}
{'loss': 0.2481, 'learning_rate': 6.200822078684675e-06, 'epoch': 1.38}
{'loss': 0.2454, 'learning_rate': 6.054022313564298e-06, 'epoch': 1.39}
{'loss': 0.2431, 'learning_rate': 5.907222548443922e-06, 'epoch': 1.41}
{'loss': 0.2455, 'learning_rate': 5.760422783323547e-06, 'epoch': 1.42}
{'loss': 0.2438, 'learning_rate': 5.613623018203171e-06, 'epoch': 1.44}
{'loss': 0.2481, 'learning_rate': 5.466823253082796e-06, 'epoch': 1.45}
{'loss': 0.2478, 'learning_rate': 5.32002348796242e-06, 'epoch': 1.47}
{'loss': 0.2451, 'learning_rate': 5.173223722842043e-06, 'epoch': 1.48}
{'loss': 0.2455, 'learning_rate': 5.026423957721668e-06, 'epoch': 1.5}
{'loss': 0.2433, 'learning_rate': 4.879624192601292e-06, 'epoch': 1.51}
{'loss': 0.2472, 'learning_rate': 4.732824427480917e-06, 'epoch': 1.53}
{'loss': 0.2421, 'learning_rate': 4.58602466236054e-06, 'epoch': 1.54}
{'loss': 0.2447, 'learning_rate': 4.439224897240165e-06, 'epoch': 1.56}
{'loss': 0.2472, 'learning_rate': 4.292425132119789e-06, 'epoch': 1.57}
{'loss': 0.2453, 'learning_rate': 4.145625366999413e-06, 'epoch': 1.59}
{'loss': 0.2438, 'learning_rate': 3.998825601879037e-06, 'epoch': 1.6}
{'loss': 0.2454, 'learning_rate': 3.852025836758662e-06, 'epoch': 1.61}
{'loss': 0.2446, 'learning_rate': 3.7052260716382854e-06, 'epoch': 1.63}
{'loss': 0.2448, 'learning_rate': 3.55842630651791e-06, 'epoch': 1.64}
{'loss': 0.2434, 'learning_rate': 3.4116265413975343e-06, 'epoch': 1.66}
{'loss': 0.2486, 'learning_rate': 3.2648267762771583e-06, 'epoch': 1.67}
{'loss': 0.2467, 'learning_rate': 3.1180270111567823e-06, 'epoch': 1.69}
{'loss': 0.2471, 'learning_rate': 2.9712272460364067e-06, 'epoch': 1.7}
{'loss': 0.2431, 'learning_rate': 2.824427480916031e-06, 'epoch': 1.72}
{'loss': 0.2452, 'learning_rate': 2.6776277157956547e-06, 'epoch': 1.73}
{'loss': 0.2469, 'learning_rate': 2.530827950675279e-06, 'epoch': 1.75}
{'loss': 0.2408, 'learning_rate': 2.384028185554903e-06, 'epoch': 1.76}
{'loss': 0.2476, 'learning_rate': 2.237228420434527e-06, 'epoch': 1.78}
{'loss': 0.2449, 'learning_rate': 2.0904286553141516e-06, 'epoch': 1.79}
{'loss': 0.2399, 'learning_rate': 1.9436288901937756e-06, 'epoch': 1.81}
{'loss': 0.2424, 'learning_rate': 1.7968291250733998e-06, 'epoch': 1.82}
{'loss': 0.2499, 'learning_rate': 1.6500293599530243e-06, 'epoch': 1.83}
{'loss': 0.243, 'learning_rate': 1.5032295948326483e-06, 'epoch': 1.85}
{'loss': 0.2492, 'learning_rate': 1.3564298297122725e-06, 'epoch': 1.86}
{'loss': 0.2469, 'learning_rate': 1.2096300645918967e-06, 'epoch': 1.88}
{'loss': 0.2444, 'learning_rate': 1.062830299471521e-06, 'epoch': 1.89}
{'loss': 0.2452, 'learning_rate': 9.160305343511451e-07, 'epoch': 1.91}
{'loss': 0.2403, 'learning_rate': 7.692307692307694e-07, 'epoch': 1.92}
{'loss': 0.2414, 'learning_rate': 6.224310041103935e-07, 'epoch': 1.94}
{'loss': 0.2442, 'learning_rate': 4.7563123899001764e-07, 'epoch': 1.95}
{'loss': 0.2426, 'learning_rate': 3.288314738696418e-07, 'epoch': 1.97}
{'loss': 0.2507, 'learning_rate': 1.8203170874926602e-07, 'epoch': 1.98}
{'loss': 0.2437, 'learning_rate': 3.52319436288902e-08, 'epoch': 2.0}
{'eval_loss': 0.2488618791103363, 'eval_accuracy': 0.7935073922136114, 'eval_runtime': 3396.0766, 'eval_samples_per_second': 385.09, 'eval_steps_per_second': 2.006, 'epoch': 2.0}
{'train_runtime': 24627.5039, 'train_samples_per_second': 106.201, 'train_steps_per_second': 0.553, 'train_loss': 0.2556583323481499, 'epoch': 2.0}
